room_type_Entire home/apt,amenities,bathrooms,number_of_reviews,accommodates,review_scores_rating,bedrooms,host_response_rate,city_SF,beds,city_LA,host_identity_verified_t,cleaning_fee,instant_bookable_t,room_type_Private room,city_DC,property_type_House,cancellation_policy_strict,cancellation_policy_flexible,city_Chicago,city_NYC,cancellation_policy_moderate,property_type_Apartment,property_type_Condominium,property_type_Loft,bed_type_Real Bed,property_type_Townhouse,property_type_Other,property_type_Bed & Breakfast,bed_type_Futon
1.0,152,1.0,2.0,3.0,100.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,218,1.5,6.0,7.0,93.0,3.0,0.71,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,311,2.0,10.0,5.0,92.0,2.0,0.68,,2.0,,,,,,,,,,,,,,,,,,,,
,210,2.5,0.0,4.0,96.0,0.0,0.67,,7.0,,,,,,,,,,,,,,,,,,,,
,174,3.0,4.0,2.0,40.0,4.0,0.83,,4.0,,,,,,,,,,,,,,,,,,,,
,159,0.5,3.0,6.0,97.0,5.0,0.5,,6.0,,,,,,,,,,,,,,,,,,,,
,284,4.5,15.0,8.0,99.0,6.0,0.9,,5.0,,,,,,,,,,,,,,,,,,,,
,362,5.0,9.0,1.0,90.0,7.0,0.86,,10.0,,,,,,,,,,,,,,,,,,,,
,321,0.0,159.0,9.0,89.0,8.0,0.92,,8.0,,,,,,,,,,,,,,,,,,,,
,225,4.0,82.0,10.0,91.0,9.0,0.82,,16.0,,,,,,,,,,,,,,,,,,,,
,242,3.5,29.0,16.0,88.0,10.0,0.8,,9.0,,,,,,,,,,,,,,,,,,,,
,308,5.5,13.0,11.0,86.0,,0.89,,13.0,,,,,,,,,,,,,,,,,,,,
,241,7.5,12.0,12.0,72.0,,0.93,,12.0,,,,,,,,,,,,,,,,,,,,
,351,6.0,26.0,14.0,98.0,,0.99,,11.0,,,,,,,,,,,,,,,,,,,,
,130,8.0,5.0,13.0,95.0,,0.0,,14.0,,,,,,,,,,,,,,,,,,,,
,171,7.0,57.0,15.0,84.0,,0.88,,15.0,,,,,,,,,,,,,,,,,,,,
,325,6.5,73.0,,80.0,,0.96,,0.0,,,,,,,,,,,,,,,,,,,,
,317,,14.0,,94.0,,0.7,,18.0,,,,,,,,,,,,,,,,,,,,
,256,,1.0,,87.0,,0.94,,,,,,,,,,,,,,,,,,,,,,
,342,,40.0,,85.0,,0.91,,,,,,,,,,,,,,,,,,,,,,
,295,,248.0,,70.0,,0.25,,,,,,,,,,,,,,,,,,,,,,
,226,,46.0,,60.0,,0.95,,,,,,,,,,,,,,,,,,,,,,
,404,,17.0,,75.0,,0.98,,,,,,,,,,,,,,,,,,,,,,
,206,,138.0,,20.0,,0.62,,,,,,,,,,,,,,,,,,,,,,
,683,,11.0,,76.0,,0.29,,,,,,,,,,,,,,,,,,,,,,
,246,,44.0,,83.0,,0.33,,,,,,,,,,,,,,,,,,,,,,
,323,,34.0,,82.0,,0.81,,,,,,,,,,,,,,,,,,,,,,
,193,,85.0,,78.0,,0.63,,,,,,,,,,,,,,,,,,,,,,
,280,,18.0,,73.0,,0.38,,,,,,,,,,,,,,,,,,,,,,
